,group,variable,value
0,2012-04,2012,1
1,2012-04,2015,1
2,2012-05,2009,1
3,2012-11,2001,1
4,2012-11,2012,2
5,2012-11,2013,1
6,2012-12,2012,1
7,2013-01,1990,1
8,2013-01,2012,1
9,2013-01,2013,3
10,2013-02,1950,1
11,2013-02,2013,1
12,2013-03,2010,1
13,2013-03,2012,1
14,2013-03,2013,1
15,2013-04,1950,1
16,2013-04,1992,1
17,2013-04,2010,3
18,2013-04,2013,3
19,2013-04,2050,1
20,2013-04,2100,1
21,2013-05,2013,2
22,2013-06,627,1
23,2013-06,906,1
24,2013-06,2011,1
25,2013-06,2012,1
26,2013-06,2013,2
27,2013-06,2015,1
28,2013-07,1920,1
29,2013-07,2008,1
30,2013-07,2012,2
31,2013-07,2013,5
32,2013-08,1919,1
33,2013-08,1931,1
34,2013-08,1962,1
35,2013-08,1973,1
36,2013-08,2000,1
37,2013-08,2006,1
38,2013-08,2009,2
39,2013-08,2010,2
40,2013-08,2011,3
41,2013-08,2012,1
42,2013-08,2013,5
43,2013-08,2014,1
44,2013-08,2045,1
45,2013-09,1925,1
46,2013-09,1961,1
47,2013-09,1963,1
48,2013-09,1965,1
49,2013-09,1998,1
50,2013-09,2006,1
51,2013-09,2010,1
52,2013-09,2011,2
53,2013-09,2012,2
54,2013-09,2013,7
55,2013-09,2014,2
56,2013-09,2018,1
57,2013-09,2020,1
58,2013-10,1901,1
59,2013-10,1905,1
60,2013-10,1923,1
61,2013-10,1933,1
62,2013-10,1934,1
63,2013-10,2000,1
64,2013-10,2003,1
65,2013-10,2006,1
66,2013-10,2007,2
67,2013-10,2008,2
68,2013-10,2010,1
69,2013-10,2011,3
70,2013-10,2012,1
71,2013-10,2013,6
72,2013-10,2014,1
73,2013-10,2033,1
74,2013-10,2100,1
75,2013-11,2003,1
76,2013-11,2006,1
77,2013-11,2009,1
78,2013-11,2012,1
79,2013-11,2013,3
80,2013-12,1844,1
81,2013-12,2008,1
82,2013-12,2009,1
83,2013-12,2011,2
84,2013-12,2012,2
85,2013-12,2013,1
86,2013-12,2014,1
87,2013-12,2015,1
88,2014-01,1830,1
89,2014-01,1946,1
90,2014-01,1974,1
91,2014-01,2000,1
92,2014-01,2012,2
93,2014-01,2013,2
94,2014-01,2014,4
95,2014-01,2015,1
96,2014-01,2020,1
97,2014-01,2050,2
98,2014-01,3814,1
99,2014-02,1994,1
100,2014-02,2004,1
101,2014-02,2012,2
102,2014-02,2014,3
103,2014-02,2050,1
104,2014-03,1992,1
105,2014-03,2011,1
106,2014-03,2012,1
107,2014-03,2013,1
108,2014-03,2014,8
109,2014-03,2015,1
110,2014-03,2016,1
111,2014-04,1999,1
112,2014-04,2002,1
113,2014-04,2004,1
114,2014-04,2009,1
115,2014-04,2010,2
116,2014-04,2011,1
117,2014-04,2012,3
118,2014-04,2013,2
119,2014-04,2014,8
120,2014-04,2015,2
121,2014-04,2020,1
122,2014-05,1000,1
123,2014-05,1014,1
124,2014-05,1905,1
125,2014-05,1912,1
126,2014-05,1930,1
127,2014-05,1934,1
128,2014-05,1967,1
129,2014-05,1994,2
130,2014-05,1996,1
131,2014-05,2001,1
132,2014-05,2004,2
133,2014-05,2005,2
134,2014-05,2006,2
135,2014-05,2007,3
136,2014-05,2008,2
137,2014-05,2009,3
138,2014-05,2010,4
139,2014-05,2011,1
140,2014-05,2012,5
141,2014-05,2013,6
142,2014-05,2014,33
143,2014-05,2015,3
144,2014-05,2016,1
145,2014-05,2025,1
146,2014-05,2050,1
147,2014-05,2094,1
148,2014-06,30,1
149,2014-06,1920,1
150,2014-06,1927,1
151,2014-06,1949,1
152,2014-06,1950,1
153,2014-06,1957,1
154,2014-06,1967,1
155,2014-06,1976,1
156,2014-06,1991,1
157,2014-06,2000,1
158,2014-06,2009,2
159,2014-06,2011,1
160,2014-06,2013,3
161,2014-06,2014,20
162,2014-06,2015,3
163,2014-06,2017,1
164,2014-06,2020,2
165,2014-06,2024,1
166,2014-06,2028,1
167,2014-06,2050,1
168,2014-07,1984,1
169,2014-07,1986,1
170,2014-07,1992,1
171,2014-07,2004,2
172,2014-07,2007,1
173,2014-07,2009,2
174,2014-07,2010,2
175,2014-07,2011,2
176,2014-07,2012,2
177,2014-07,2013,5
178,2014-07,2014,11
179,2014-07,2015,1
180,2014-07,2016,1
181,2014-07,2017,2
182,2014-07,2020,1
183,2014-08,1000,1
184,2014-08,1050,1
185,2014-08,1969,2
186,2014-08,1994,1
187,2014-08,2000,1
188,2014-08,2004,1
189,2014-08,2007,1
190,2014-08,2008,1
191,2014-08,2009,2
192,2014-08,2010,3
193,2014-08,2011,1
194,2014-08,2012,5
195,2014-08,2013,8
196,2014-08,2014,28
197,2014-08,2015,5
198,2014-08,2017,1
199,2014-08,2018,1
200,2014-09,1985,1
201,2014-09,1988,1
202,2014-09,1989,1
203,2014-09,1991,1
204,2014-09,1994,2
205,2014-09,1995,1
206,2014-09,1999,1
207,2014-09,2003,2
208,2014-09,2004,4
209,2014-09,2005,2
210,2014-09,2006,3
211,2014-09,2007,1
212,2014-09,2008,1
213,2014-09,2009,1
214,2014-09,2010,5
215,2014-09,2011,4
216,2014-09,2012,5
217,2014-09,2013,5
218,2014-09,2014,24
219,2014-09,2015,6
220,2014-09,2016,2
221,2014-09,2018,1
222,2014-09,2022,1
223,2014-09,2025,1
224,2014-09,2035,1
225,2014-09,2050,1
226,2014-10,1915,1
227,2014-10,1921,1
228,2014-10,1936,1
229,2014-10,1937,1
230,2014-10,1957,2
231,2014-10,1964,1
232,2014-10,1970,1
233,2014-10,1998,1
234,2014-10,1999,1
235,2014-10,2001,2
236,2014-10,2004,2
237,2014-10,2005,1
238,2014-10,2006,2
239,2014-10,2008,1
240,2014-10,2009,1
241,2014-10,2010,1
242,2014-10,2011,2
243,2014-10,2012,5
244,2014-10,2013,7
245,2014-10,2014,27
246,2014-10,2015,6
247,2014-10,2016,1
248,2014-10,2020,1
249,2014-10,2022,2
250,2014-10,2024,1
251,2014-10,2030,1
252,2014-10,2045,1
253,2014-11,835,1
254,2014-11,1602,1
255,2014-11,1914,1
256,2014-11,1942,1
257,2014-11,1957,1
258,2014-11,1959,1
259,2014-11,1960,1
260,2014-11,1966,1
261,2014-11,1969,1
262,2014-11,1971,1
263,2014-11,1973,1
264,2014-11,1974,1
265,2014-11,1977,1
266,2014-11,1983,1
267,2014-11,1986,1
268,2014-11,1987,1
269,2014-11,1989,1
270,2014-11,1990,1
271,2014-11,1993,2
272,2014-11,1994,1
273,2014-11,1995,1
274,2014-11,1997,1
275,2014-11,1998,1
276,2014-11,2000,1
277,2014-11,2001,2
278,2014-11,2004,1
279,2014-11,2005,2
280,2014-11,2006,1
281,2014-11,2009,1
282,2014-11,2010,3
283,2014-11,2011,2
284,2014-11,2012,5
285,2014-11,2013,4
286,2014-11,2014,20
287,2014-11,2015,7
288,2014-11,2017,2
289,2014-11,2018,3
290,2014-11,2020,2
291,2014-11,2025,2
292,2014-11,2030,1
293,2014-11,2050,1
294,2014-12,1934,1
295,2014-12,1956,1
296,2014-12,1997,1
297,2014-12,1999,1
298,2014-12,2004,1
299,2014-12,2007,1
300,2014-12,2011,1
301,2014-12,2012,2
302,2014-12,2013,6
303,2014-12,2014,16
304,2014-12,2015,6
305,2014-12,2016,1
306,2014-12,2018,2
307,2014-12,2020,1
308,2014-12,2025,1
309,2015-01,1915,1
310,2015-01,1920,1
311,2015-01,1945,1
312,2015-01,1985,1
313,2015-01,1990,1
314,2015-01,1995,1
315,2015-01,1996,1
316,2015-01,2000,1
317,2015-01,2001,1
318,2015-01,2006,1
319,2015-01,2009,3
320,2015-01,2011,1
321,2015-01,2012,1
322,2015-01,2013,4
323,2015-01,2014,10
324,2015-01,2015,24
325,2015-01,2016,1
326,2015-01,2017,3
327,2015-01,2018,1
328,2015-01,2020,2
329,2015-01,2030,1
330,2015-02,1515,1
331,2015-02,1821,1
332,2015-02,1865,1
333,2015-02,1901,1
334,2015-02,1928,1
335,2015-02,1939,1
336,2015-02,1945,1
337,2015-02,1950,1
338,2015-02,1972,1
339,2015-02,1975,2
340,2015-02,1986,1
341,2015-02,1988,1
342,2015-02,1995,1
343,2015-02,1997,1
344,2015-02,1999,2
345,2015-02,2003,1
346,2015-02,2005,3
347,2015-02,2006,1
348,2015-02,2007,1
349,2015-02,2008,1
350,2015-02,2009,2
351,2015-02,2010,3
352,2015-02,2011,4
353,2015-02,2012,2
354,2015-02,2013,6
355,2015-02,2014,9
356,2015-02,2015,18
357,2015-02,2016,1
358,2015-02,2017,2
359,2015-02,2025,1
360,2015-02,2030,2
361,2015-02,3915,1
362,2015-03,1000,3
363,2015-03,1021,1
364,2015-03,1200,1
365,2015-03,1915,1
366,2015-03,1916,2
367,2015-03,1919,1
368,2015-03,1995,1
369,2015-03,2001,1
370,2015-03,2002,1
371,2015-03,2004,1
372,2015-03,2005,1
373,2015-03,2006,1
374,2015-03,2007,1
375,2015-03,2009,3
376,2015-03,2011,3
377,2015-03,2012,3
378,2015-03,2013,1
379,2015-03,2014,6
380,2015-03,2015,23
381,2015-03,2016,3
382,2015-03,2017,2
383,2015-03,2018,2
384,2015-03,2020,2
385,2015-04,1015,1
386,2015-04,1415,1
387,2015-04,1834,1
388,2015-04,1960,1
389,2015-04,1988,1
390,2015-04,2003,1
391,2015-04,2005,2
392,2015-04,2006,1
393,2015-04,2007,2
394,2015-04,2009,2
395,2015-04,2010,1
396,2015-04,2012,1
397,2015-04,2013,3
398,2015-04,2014,4
399,2015-04,2015,29
400,2015-04,2016,1
401,2015-04,2018,3
402,2015-04,2020,1
403,2015-04,2025,1
404,2015-05,1000,1
405,2015-05,1400,1
406,2015-05,1859,1
407,2015-05,1901,1
408,2015-05,1915,1
409,2015-05,1935,1
410,2015-05,1947,1
411,2015-05,1950,1
412,2015-05,1958,1
413,2015-05,1974,1
414,2015-05,1978,1
415,2015-05,1986,1
416,2015-05,1989,1
417,2015-05,1994,2
418,2015-05,2000,2
419,2015-05,2002,1
420,2015-05,2003,1
421,2015-05,2004,1
422,2015-05,2005,1
423,2015-05,2006,1
424,2015-05,2008,2
425,2015-05,2010,1
426,2015-05,2011,1
427,2015-05,2012,3
428,2015-05,2013,3
429,2015-05,2014,6
430,2015-05,2015,26
431,2015-05,2017,1
432,2015-05,2020,2
433,2015-05,2025,1
434,2015-05,2030,1
435,2015-06,1880,1
436,2015-06,1990,1
437,2015-06,1998,1
438,2015-06,2002,1
439,2015-06,2003,1
440,2015-06,2007,1
441,2015-06,2008,2
442,2015-06,2009,2
443,2015-06,2010,5
444,2015-06,2011,3
445,2015-06,2012,1
446,2015-06,2013,3
447,2015-06,2014,5
448,2015-06,2015,18
449,2015-06,2016,2
450,2015-06,2017,1
451,2015-06,2020,3
452,2015-06,2030,1
453,2015-06,2050,2
454,2015-07,1929,1
455,2015-07,1958,1
456,2015-07,1977,1
457,2015-07,1980,1
458,2015-07,1981,1
459,2015-07,1995,1
460,2015-07,1998,1
461,2015-07,2002,2
462,2015-07,2006,1
463,2015-07,2008,1
464,2015-07,2009,1
465,2015-07,2010,2
466,2015-07,2011,1
467,2015-07,2012,2
468,2015-07,2013,1
469,2015-07,2014,4
470,2015-07,2015,20
471,2015-07,2016,2
472,2015-07,2018,2
473,2015-07,2020,1
474,2015-07,2022,1
475,2015-07,2030,1
476,2015-07,2035,2
477,2015-07,2045,1
478,2015-07,2060,1
479,2015-07,2506,1
480,2015-08,100,1
481,2015-08,1291,1
482,2015-08,1995,1
483,2015-08,1998,1
484,2015-08,1999,1
485,2015-08,2001,1
486,2015-08,2011,1
487,2015-08,2012,1
488,2015-08,2013,2
489,2015-08,2014,3
490,2015-08,2015,10
491,2015-08,2016,1
492,2015-09,1080,1
493,2015-09,1915,1
494,2015-09,1987,1
495,2015-09,1994,1
496,2015-09,2000,1
497,2015-09,2001,1
498,2015-09,2003,1
499,2015-09,2004,2
500,2015-09,2005,1
501,2015-09,2007,1
502,2015-09,2008,1
503,2015-09,2010,3
504,2015-09,2011,2
505,2015-09,2013,3
506,2015-09,2014,9
507,2015-09,2015,23
508,2015-09,2016,4
509,2015-09,2019,1
510,2015-09,2020,3
511,2015-09,2022,1
512,2015-09,2030,2
513,2015-10,2000,1
514,2015-10,2005,1
515,2015-10,2008,1
516,2015-10,2009,1
517,2015-10,2012,1
518,2015-10,2014,2
519,2015-10,2015,14
520,2015-10,2016,1
521,2015-10,2017,1
522,2015-10,2020,1
523,2015-11,1012,1
524,2015-11,1550,1
525,2015-11,1880,1
526,2015-11,1945,1
527,2015-11,1964,1
528,2015-11,1978,1
529,2015-11,1988,1
530,2015-11,2001,1
531,2015-11,2002,1
532,2015-11,2004,1
533,2015-11,2005,2
534,2015-11,2008,1
535,2015-11,2009,1
536,2015-11,2010,1
537,2015-11,2011,1
538,2015-11,2012,2
539,2015-11,2013,2
540,2015-11,2014,6
541,2015-11,2015,20
542,2015-11,2016,4
543,2015-11,2025,1
544,2015-11,2030,1
545,2015-12,1200,1
546,2015-12,1915,2
547,2015-12,1923,1
548,2015-12,1956,1
549,2015-12,1990,1
550,2015-12,2001,1
551,2015-12,2002,1
552,2015-12,2004,1
553,2015-12,2005,2
554,2015-12,2007,1
555,2015-12,2008,1
556,2015-12,2010,1
557,2015-12,2012,2
558,2015-12,2013,3
559,2015-12,2014,7
560,2015-12,2015,19
561,2015-12,2016,6
562,2015-12,2017,1
563,2015-12,2018,1
564,2015-12,2020,2
565,2015-12,2021,1
566,2015-12,2022,1
567,2015-12,2025,2
568,2015-12,2030,1
569,2015-12,2050,2
570,2015-12,2500,1
571,2016-01,1000,1
572,2016-01,1057,1
573,2016-01,1161,1
574,2016-01,1831,1
575,2016-01,1842,1
576,2016-01,1900,1
577,2016-01,1950,1
578,2016-01,1956,1
579,2016-01,1957,1
580,2016-01,1984,1
581,2016-01,1986,1
582,2016-01,1988,1
583,2016-01,1990,1
584,2016-01,1996,2
585,2016-01,2000,2
586,2016-01,2002,1
587,2016-01,2003,1
588,2016-01,2006,1
589,2016-01,2007,1
590,2016-01,2008,1
591,2016-01,2009,2
592,2016-01,2010,1
593,2016-01,2011,2
594,2016-01,2012,4
595,2016-01,2013,2
596,2016-01,2014,8
597,2016-01,2015,17
598,2016-01,2016,64
599,2016-01,2017,5
600,2016-01,2018,2
601,2016-01,2019,1
602,2016-01,2020,6
603,2016-01,2024,1
604,2016-01,2025,1
605,2016-01,2028,1
606,2016-01,2030,4
607,2016-01,2050,1
608,2016-01,2100,1
609,2016-01,2300,1
610,2016-01,2600,1
611,2016-01,3016,1
612,2016-02,1616,1
613,2016-02,1860,1
614,2016-02,1900,1
615,2016-02,1950,1
616,2016-02,1980,1
617,2016-02,1992,1
618,2016-02,2001,1
619,2016-02,2002,1
620,2016-02,2006,1
621,2016-02,2007,1
622,2016-02,2009,3
623,2016-02,2010,3
624,2016-02,2011,2
625,2016-02,2012,1
626,2016-02,2013,3
627,2016-02,2014,5
628,2016-02,2015,11
629,2016-02,2016,33
630,2016-02,2017,5
631,2016-02,2019,1
632,2016-02,2020,1
633,2016-02,2025,1
634,2016-02,2030,1
635,2016-02,2499,1
636,2016-03,931,1
637,2016-03,1452,1
638,2016-03,1919,1
639,2016-03,1961,1
640,2016-03,1973,1
641,2016-03,1987,1
642,2016-03,1989,1
643,2016-03,1997,1
644,2016-03,2000,1
645,2016-03,2005,2
646,2016-03,2006,3
647,2016-03,2007,1
648,2016-03,2011,3
649,2016-03,2012,1
650,2016-03,2013,2
651,2016-03,2014,2
652,2016-03,2015,10
653,2016-03,2016,31
654,2016-03,2017,5
655,2016-03,2018,3
656,2016-03,2019,1
657,2016-03,2020,2
658,2016-03,2035,1
659,2016-03,2050,1
660,2016-03,2129,1
661,2016-04,1850,1
662,2016-04,1885,1
663,2016-04,1902,1
664,2016-04,1905,1
665,2016-04,1915,1
666,2016-04,1917,1
667,2016-04,1946,2
668,2016-04,1947,1
669,2016-04,1953,1
670,2016-04,1959,1
671,2016-04,1966,1
672,2016-04,1968,1
673,2016-04,1970,1
674,2016-04,1978,1
675,2016-04,1982,1
676,2016-04,1984,1
677,2016-04,1986,1
678,2016-04,1996,1
679,2016-04,1997,1
680,2016-04,2002,1
681,2016-04,2003,2
682,2016-04,2006,1
683,2016-04,2008,2
684,2016-04,2009,1
685,2016-04,2010,1
686,2016-04,2011,2
687,2016-04,2012,1
688,2016-04,2013,2
689,2016-04,2014,7
690,2016-04,2015,11
691,2016-04,2016,29
692,2016-04,2017,4
693,2016-04,2018,3
694,2016-04,2020,5
695,2016-04,2025,1
696,2016-04,2035,1
697,2016-04,2050,1
698,2016-05,130,1
699,2016-05,1000,1
700,2016-05,1885,1
701,2016-05,1903,1
702,2016-05,1959,1
703,2016-05,1960,1
704,2016-05,1961,2
705,2016-05,1964,1
706,2016-05,1966,1
707,2016-05,1969,1
708,2016-05,1987,1
709,2016-05,1988,1
710,2016-05,1993,1
711,2016-05,1995,1
712,2016-05,2000,1
713,2016-05,2001,1
714,2016-05,2004,2
715,2016-05,2006,2
716,2016-05,2008,1
717,2016-05,2009,2
718,2016-05,2010,1
719,2016-05,2011,1
720,2016-05,2012,4
721,2016-05,2013,5
722,2016-05,2014,3
723,2016-05,2015,13
724,2016-05,2016,25
725,2016-05,2017,3
726,2016-05,2018,2
727,2016-05,2019,2
728,2016-05,2020,2
729,2016-05,2021,1
730,2016-05,2022,1
731,2016-05,2024,2
732,2016-06,1218,1
733,2016-06,1919,1
734,2016-06,1927,1
735,2016-06,1982,1
736,2016-06,1989,1
737,2016-06,1999,1
738,2016-06,2007,1
739,2016-06,2009,1
740,2016-06,2010,3
741,2016-06,2011,3
742,2016-06,2012,3
743,2016-06,2013,5
744,2016-06,2014,6
745,2016-06,2015,11
746,2016-06,2016,37
747,2016-06,2017,3
748,2016-06,2018,1
749,2016-06,2020,2
750,2016-06,2022,1
751,2016-06,2025,1
752,2016-06,2030,1
753,2016-06,2034,1
754,2016-06,2035,1
755,2016-06,3516,1
756,2016-07,1300,1
757,2016-07,1961,1
758,2016-07,1962,1
759,2016-07,1973,2
760,2016-07,1996,1
761,2016-07,2000,1
762,2016-07,2001,1
763,2016-07,2003,1
764,2016-07,2005,1
765,2016-07,2006,2
766,2016-07,2008,1
767,2016-07,2009,3
768,2016-07,2011,1
769,2016-07,2015,5
770,2016-07,2016,26
771,2016-07,2017,2
772,2016-07,2020,2
773,2016-07,2050,1
774,2016-07,2053,1
775,2016-08,1421,1
776,2016-08,1915,1
777,2016-08,1916,1
778,2016-08,1944,1
779,2016-08,1981,1
780,2016-08,1991,1
781,2016-08,1992,1
782,2016-08,1993,2
783,2016-08,1994,2
784,2016-08,1995,1
785,2016-08,1996,2
786,2016-08,1997,1
787,2016-08,1999,1
788,2016-08,2001,2
789,2016-08,2002,1
790,2016-08,2003,2
791,2016-08,2004,2
792,2016-08,2005,1
793,2016-08,2006,3
794,2016-08,2007,1
795,2016-08,2008,1
796,2016-08,2009,5
797,2016-08,2010,3
798,2016-08,2011,1
799,2016-08,2012,4
800,2016-08,2013,5
801,2016-08,2014,4
802,2016-08,2015,6
803,2016-08,2016,41
804,2016-08,2017,8
805,2016-08,2018,2
806,2016-08,2019,1
807,2016-08,2020,4
808,2016-08,2021,2
809,2016-08,2023,1
810,2016-08,2050,1
811,2016-09,1800,1
812,2016-09,1834,1
813,2016-09,1986,1
814,2016-09,1990,1
815,2016-09,1999,1
816,2016-09,2001,1
817,2016-09,2002,2
818,2016-09,2003,1
819,2016-09,2004,1
820,2016-09,2007,1
821,2016-09,2009,1
822,2016-09,2011,1
823,2016-09,2012,2
824,2016-09,2013,2
825,2016-09,2014,2
826,2016-09,2015,11
827,2016-09,2016,22
828,2016-09,2017,1
829,2016-09,2018,1
830,2016-09,2019,1
831,2016-09,2020,2
832,2016-09,2021,2
833,2016-09,2030,2
834,2016-09,2050,1
835,2016-10,1867,1
836,2016-10,1909,1
837,2016-10,1961,1
838,2016-10,1966,1
839,2016-10,1969,1
840,2016-10,1976,2
841,2016-10,1977,1
842,2016-10,1996,1
843,2016-10,1997,1
844,2016-10,2000,1
845,2016-10,2001,1
846,2016-10,2002,1
847,2016-10,2003,3
848,2016-10,2005,1
849,2016-10,2006,1
850,2016-10,2009,1
851,2016-10,2010,5
852,2016-10,2011,3
853,2016-10,2012,2
854,2016-10,2013,4
855,2016-10,2014,5
856,2016-10,2015,10
857,2016-10,2016,45
858,2016-10,2017,7
859,2016-10,2018,2
860,2016-10,2020,2
861,2016-10,2021,1
862,2016-10,2032,1
863,2016-10,2100,1
864,2016-10,2300,1
865,2016-10,2316,1
866,2016-10,2345,1
867,2016-11,620,1
868,2016-11,1373,1
869,2016-11,1880,1
870,2016-11,1912,1
871,2016-11,1916,1
872,2016-11,1951,1
873,2016-11,1953,1
874,2016-11,1954,1
875,2016-11,1957,1
876,2016-11,1959,1
877,2016-11,1960,2
878,2016-11,1970,1
879,2016-11,1979,1
880,2016-11,1980,1
881,2016-11,1983,1
882,2016-11,1984,1
883,2016-11,1990,2
884,2016-11,1992,1
885,2016-11,1993,2
886,2016-11,1999,1
887,2016-11,2000,2
888,2016-11,2002,1
889,2016-11,2003,2
890,2016-11,2004,2
891,2016-11,2005,1
892,2016-11,2006,4
893,2016-11,2008,2
894,2016-11,2009,8
895,2016-11,2010,10
896,2016-11,2011,4
897,2016-11,2012,5
898,2016-11,2013,6
